"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C6, C7, C16, C17, C25, C26, C29, C33","10","RPEF11H104Z2P1A01B","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"2","C3, C9, C27, C32","4","PSR470K500RB","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"3","C4, C5, C8, C11, C21, C28, C31, C34","8","RDEC71E106K2K1H03B","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"4","C10, C22","2","UHD1H102MHD","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm",""
"5","C12, C18, C23, C24","4","UHD1H101MPD","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"6","C13, C15","2","MEM105J101RB-5","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"7","C14, C19, C20, C30","4","CD15CD180JO3F","Capacitor_THT:C_Disc_D10.5mm_W5.0mm_P5.00mm",""
"8","C35","1","UVR1E470MDD","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"9","C36, C38","2","UVR1E101MED","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"10","C37","1","UVR1H4R7MDD","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"11","D1, D8, D10, D12","4","GDZJ6.2B","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"12","D2, D4, D6, D7, D11, D13, D16, D17","8","E-452","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"13","D3, D5, D14, D15","4","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"14","D9","1","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"15","H1, H2, H3, H4","4","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad",""
"16","J1, J2, J3, J6","4","B2P-VH","Connector_JST:JST_VH_B2P-VH_1x02_P3.96mm_Vertical",""
"17","J4, J5","2","B2B-XH-A","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"18","JP1","1","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"19","Q1, Q12","2","TTA1943","Package_TO_SOT_THT:TO-3PB-3_Vertical",""
"20","Q2, Q6, Q10, Q13","4","TTC015B","Package_TO_SOT_THT:TO-126-3_Vertical",""
"21","Q3, Q14","2","TTC5200","Package_TO_SOT_THT:TO-3PB-3_Vertical",""
"22","Q4, Q8","2","2SA1015-Y","Package_TO_SOT_THT:TO-92",""
"23","Q5, Q9","2","TTA008B","Package_TO_SOT_THT:TO-126-3_Vertical",""
"24","Q7, Q11","2","2SC1815-Y","Package_TO_SOT_THT:TO-92",""
"25","R1, R6, R12, R26, R27, R46, R47, R50, R53, R60","10","20kF","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"26","R2, R59","2","3.9k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"27","R3, R8, R15, R35, R39, R44, R48","7","100","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"28","R4, R10, R18, R38, R43, R52","6","1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"29","R5, R9, R11, R13, R25, R34, R40, R41, R42, R45","10","2kF","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"30","R7, R51","2","10kF","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"31","R14, R17, R23, R31, R57, R58","6","10","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"32","R16, R19, R61, R62","4","RSMF3BR220F","Resistor_THT:R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal",""
"33","R20, R29","2","220F","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"34","R21, R30","2","100k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"35","R22, R32","2","200F","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"36","R24, R33","2","470","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"37","R28, R49","2","1M","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"38","R36, R37, R56","3","51k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"39","R54, R55","2","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"40","RL1","1","G2RL-2-DC12","Relay_THT:Relay_DPDT_Omron_G2RL",""
"41","RV1, RV4","2","GF063P B102K","Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical",""
"42","RV2, RV3","2","GF063PB502K","Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical",""
"43","TP1, TP2","2","TEST-34","Connector_PinHeader_2.00mm:PinHeader_1x01_P2.00mm_Vertical",""
"44","U1, U3","2","OPA1655","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"45","U2","1","ADA4001-2","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"46","U4","1","UPC1237L","Package_SIP:SIP-8_19x3mm_P2.54mm",""
